Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,android-screen-upgrade-bmw-f30-10-25,,,,,,,,MG-SCR-BMW-F30-NBT,,,NBT (approx. 2013–2016),,,,,,,,549.00,,,TRUE,,,,,,shopify,6,DENY,1800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,android-screen-upgrade-bmw-f30-10-25,,,,,,,,MG-SCR-BMW-F30-EVO,,,NBT EVO (approx. 2016–2019),,,,,,,,549.00,,,TRUE,,,,,,shopify,6,DENY,1800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
"12.3"" Android Screen Upgrade – Mercedes-Benz C-Class (W205)",android-screen-upgrade-mercedes-w205-12-3,"<p><strong>Give your C-Class a 12.3"" widescreen</strong> with wireless Apple CarPlay and Android Auto, finished to look like the premium factory option.</p><h3>Why drivers choose it</h3><ul><li>12.3"" anti-glare touchscreen that fills the dash the way the factory widescreen does</li><li>Wireless CarPlay and Android Auto, plus Android apps</li><li>Original Mercedes menus and car settings stay one press away</li><li>Keeps the rotary controller, touchpad, steering wheel buttons and reversing camera</li></ul><h3>What's included</h3><ul><li>12.3"" display unit with mounting bracket</li><li>Plug-in harness for NTG 5/5.1 or NTG 5.5 (choose it above)</li><li>GPS antenna and external microphone</li><li>USB lead for wired use and charging</li></ul><h3>Compatibility</h3><ul><li>Mercedes-Benz C-Class W205 saloon, S205 estate, C205 coupé and A205 cabriolet</li><li>Cars with NTG 5/5.1 (approx. 2014–2018) or NTG 5.5 (approx. 2018–2021)</li><li>Send us your reg and a photo of your dash and we'll confirm the fit before you buy</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Want it fitted? Our technicians install it at our workshop in Ballymount, Dublin 12, with a neat, factory-style finish and everything tested before you drive away. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg and a photo of your dash on WhatsApp and we'll confirm it suits your car first.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,Android Screen Upgrade,"carplay-android-auto, screen-upgrades, make:Mercedes-Benz, type:screen-upgrade, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-SCR-MB-W205-NTG5,,Mercedes system,NTG 5 / 5.1 (approx. 2014–2018),,,,,,,,699.00,,,TRUE,,,,,,shopify,6,DENY,2000,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_025ff690eb284fd08df1b0ac249caa62~mv2.png,1,Widescreen dashboard display running Android Auto with Google Maps and Spotify,,FALSE,"Mercedes W205 12.3"" Android Screen Upgrade | MG Car Audio",12.3-inch Android widescreen for the Mercedes-Benz C-Class W205 with wireless CarPlay and Android Auto. Keeps factory controls. Fitted in Dublin 12.,,,,,,,,New,TRUE,,,,,
,android-screen-upgrade-mercedes-w205-12-3,,,,,,,,MG-SCR-MB-W205-NTG55,,,NTG 5.5 (approx. 2018–2021),,,,,,,,699.00,,,TRUE,,,,,,shopify,6,DENY,2000,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
"9"" Android Double-DIN Touchscreen Radio",android-double-din-radio-9-inch,"<p><strong>A big, bright 9"" touchscreen with wireless Apple CarPlay and Android Auto built in.</strong> The quickest way to bring a car with a standard double-DIN radio right up to date.</p><h3>Why drivers choose it</h3><ul><li>Wireless Apple CarPlay and Android Auto</li><li>Android apps from Google Play for music, podcasts and navigation</li><li>Bluetooth calls and music streaming, plus FM radio</li><li>Reversing camera input and steering wheel control support (with the right adapter for your car)</li></ul><h3>What's included</h3><ul><li>9"" Android head unit</li><li>Wiring loom, GPS antenna and external microphone</li><li>USB leads</li><li>The fascia kit, harness adapter and steering wheel interface are specific to your car and quoted separately</li></ul><h3>Compatibility</h3><ul><li>Cars with a double-DIN radio opening, or where a 9"" fascia kit is available</li><li>Covers most European, Japanese and Korean cars</li><li>Send us your reg and we'll confirm the fascia kit and adapters your car needs</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Our Android radio fitting service is <strong>€150</strong> and takes about an hour and a half at our workshop in Ballymount, Dublin 12. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg on WhatsApp for a full fitted price.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,Android Radio,"carplay-android-auto, android-radios, best-sellers, make:Universal, type:android-radio, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-RAD-AND-9,,Title,Default Title,,,,,,,,279.00,,,TRUE,,,,,,shopify,12,DENY,1600,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_5bc2192defd241cfa481482e85e323f4~mv2.jpg,1,Car centre console with a head unit fitted between the air vents,,FALSE,"9"" Android Double-DIN Radio with CarPlay | MG Car Audio",9-inch Android touchscreen radio with wireless Apple CarPlay and Android Auto. Fits double-DIN dashes. Professional fitting in Dublin 12 for €150.,,,,,,,,New,TRUE,,,,,
"7"" Wireless CarPlay & Android Auto Double-DIN Radio",wireless-carplay-double-din-radio-7-inch,"<p><strong>Everything most drivers really use, done well:</strong> maps, music, calls and messages on a clean 7"" touchscreen with wireless Apple CarPlay and Android Auto.</p><h3>Why drivers choose it</h3><ul><li>Wireless Apple CarPlay and Android Auto</li><li>Simple, distraction-free menus that start up quickly</li><li>Bluetooth calls and streaming, plus FM radio</li><li>Reversing camera input and steering wheel control support (with the right adapter for your car)</li></ul><h3>What's included</h3><ul><li>7"" double-DIN head unit with mounting cage</li><li>Wiring loom and external microphone</li><li>USB lead</li><li>The fascia kit, harness adapter and steering wheel interface are specific to your car and quoted separately</li></ul><h3>Compatibility</h3><ul><li>Cars with a double-DIN radio opening, or where a double-DIN fascia kit is available</li><li>Send us your reg and we'll confirm the fascia kit and adapters your car needs</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Our radio fitting service is <strong>€150</strong> at our workshop in Ballymount, Dublin 12. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg on WhatsApp for a full fitted price.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle A/V Players & In-Dash Systems,CarPlay Radio,"carplay-android-auto, make:Universal, type:carplay-radio, wireless-carplay, android-auto, demo-placeholder",TRUE,Active,MG-RAD-CP-7,,Title,Default Title,,,,,,,,229.00,,,TRUE,,,,,,shopify,12,DENY,1400,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_5bc2192defd241cfa481482e85e323f4~mv2.jpg,1,Car centre console with a head unit fitted between the air vents,,FALSE,"7"" Wireless CarPlay Double-DIN Radio | MG Car Audio","7-inch double-DIN radio with wireless Apple CarPlay and Android Auto, Bluetooth and camera input. Supplied and fitted at our Dublin 12 workshop.",,,,,,,,New,TRUE,,,,,
Plug-and-Play Wireless CarPlay Adapter,wireless-carplay-adapter,"<p><strong>Already have wired Apple CarPlay? Go wireless in about a minute.</strong> Plug the adapter into your car's CarPlay USB port, pair your phone once, and it connects by itself every time you get in.</p><h3>Why drivers choose it</h3><ul><li>No fitting and no tools: it plugs into the USB port your car already uses for CarPlay</li><li>Connects automatically a few seconds after you start the car</li><li>Leave your phone in your pocket or bag</li><li>Choose the CarPlay + Android Auto version if there's more than one phone in the house</li></ul><h3>What's included</h3><ul><li>Wireless adapter</li><li>USB-A and USB-C leads</li><li>Quick-start guide</li></ul><h3>Compatibility</h3><ul><li>Cars that already have factory wired Apple CarPlay (most cars from about 2016 onwards)</li><li>The Android Auto version also needs factory wired Android Auto</li><li>It won't add CarPlay to a car that doesn't have it. For that, see our CarPlay interfaces and screen upgrades</li></ul><h3>Collect or have it set up in Dublin 12</h3><p>Order online and collect from our workshop in Ballymount, Dublin 12, or pop in and we'll plug it in and pair your phone with you. Questions? Send us your reg on WhatsApp.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics,CarPlay Adapter,"carplay-android-auto, accessories, best-sellers, make:Universal, type:carplay-adapter, wireless-carplay, demo-placeholder",TRUE,Active,MG-ADP-CP,,Version,Apple CarPlay,,,,,,,,79.00,,,TRUE,,,,,,shopify,20,DENY,80,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_499cf02703c84716bc97648b5d9f121d~mv2.png,1,"Audi dashboard screen running Apple CarPlay, with an iPhone held in front of it",,FALSE,"Wireless CarPlay Adapter, Plug and Play | MG Car Audio","Turn wired Apple CarPlay into wireless in about a minute. Plugs into your car's USB port, no fitting needed. CarPlay or CarPlay + Android Auto versions.",,,,,,,,New,TRUE,,,,,
,wireless-carplay-adapter,,,,,,,,MG-ADP-CPAA,,,Apple CarPlay + Android Auto,,,,,,,,99.00,,,TRUE,,,,,,shopify,20,DENY,80,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
OEM-Style Reverse Camera Kit,oem-style-reverse-camera-kit,"<p><strong>A discreet HD reversing camera that switches on the moment you select reverse</strong>, with parking guidelines on your screen.</p><h3>Why drivers choose it</h3><ul><li>Clear, wide-angle HD picture, day and night</li><li>Shows automatically when you select reverse</li><li>Static guidelines, or dynamic guidelines that bend as you turn the wheel</li><li>Small, colour-matched camera body that looks factory-fitted</li></ul><h3>What's included</h3><ul><li>HD reverse camera</li><li>Wiring loom and mounting hardware</li><li>Where your factory screen needs a video interface, it's car-specific and quoted separately</li></ul><h3>Compatibility</h3><ul><li>Aftermarket head units and CarPlay/Android radios with a camera input</li><li>Most factory screens, including BMW iDrive and Audi MMI, through a camera interface</li><li>Send us your reg and a photo of your dash and we'll confirm what your car needs</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Want it fitted? Our technicians install it at our workshop in Ballymount, Dublin 12, with a neat, factory-style finish and everything tested before you drive away. Book a slot online with a <strong>€50 deposit</strong> (it comes off your final bill), or send us your reg and a photo of your dash on WhatsApp and we'll confirm it suits your car first.</p>",MG Car Audio,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Electronics > Motor Vehicle Parking Cameras > Backup Cameras,Reverse Camera,"reverse-cameras, make:Universal, type:reverse-camera, demo-placeholder",TRUE,Active,MG-CAM-STAT,,Guidelines,Static guidelines,,,,,,,,129.00,,,TRUE,,,,,,shopify,15,DENY,350,g,TRUE,manual,https://static.wixstatic.com/media/c67c38_5bc2192defd241cfa481482e85e323f4~mv2.jpg,1,Car centre console with a head unit fitted between the air vents,,FALSE,OEM-Style Reverse Camera Kit | MG Car Audio,HD reversing camera kit with static or dynamic parking guidelines. Works with factory screens and CarPlay radios. Supplied and fitted in Dublin 12.,,,,,,,,New,TRUE,,,,,
,oem-style-reverse-camera-kit,,,,,,,,MG-CAM-DYN,,,Dynamic guidelines,,,,,,,,159.00,,,TRUE,,,,,,shopify,15,DENY,350,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
CarPlay Installation – BMW,carplay-installation-bmw,"<p><strong>Modernise your BMW with seamless smartphone integration.</strong> We install Apple CarPlay on your iDrive system so your iPhone works with your dashboard for safer navigation, music control and hands-free messaging, all with an OEM-style finish.</p><h3>Why drivers choose it</h3><ul><li>Apple Maps, Google Maps and Waze on your factory screen</li><li>Spotify, Apple Music and your other music and podcast apps</li><li>Hands-free calls and messages, with Siri voice control</li><li>Keeps your original iDrive features wherever possible</li></ul><h3>What's included</h3><ul><li>Check of your iDrive system and software before we start</li><li>Installation and set-up of Apple CarPlay on your iDrive (choose your system above)</li><li>Test of calls, audio, microphone, reversing camera and steering wheel controls</li><li>Pairing your phone and a quick walkthrough before you leave</li></ul><h3>Good to know</h3><ul><li>Fitting takes about 1 hour</li><li>Not sure which iDrive you have? Send us a photo of your screen and we'll tell you</li><li>We confirm exactly what your BMW needs, and the price, before you book. No surprises on the day</li><li>Want Android Auto on iDrive 7? See Android Auto Installation – BMW iDrive 7 (€299)</li></ul><h3>Fitted at our Dublin 12 workshop</h3><p>Book your slot online and we'll look after the rest at our workshop in Ballymount, Dublin 12 (Mon–Fri 9:30am–7pm, Sat 11am–7pm, Sun by appointment). A <strong>€50 deposit</strong> secures your slot and comes off your final bill. Not sure this is the right service for your car? Send us your reg and a photo of your dash on WhatsApp and we'll point you to the right one.</p>",MG Car Audio,,Installation,"carplay-android-auto, installation-services, best-sellers, make:BMW, type:installation",TRUE,Active,MG-SVC-CP-BMW-CIC,,iDrive system,iDrive CIC,,,,,,,,350.00,,,TRUE,,,,,,,,CONTINUE,,,FALSE,manual,https://static.wixstatic.com/media/c67c38_a37dca29310e41c9a3845bd6232bfa53~mv2.png,1,"BMW widescreen iDrive display showing Apple CarPlay with maps, music and messages",,FALSE,"BMW Apple CarPlay Installation Dublin, €350 | MG Car Audio","Apple CarPlay installed on your BMW iDrive for €350: CIC, NBT, NBT EVO and iDrive 7. OEM-style finish, about an hour, at our Dublin 12 workshop.",,,,,,,,,,,,,,
,carplay-installation-bmw,,,,,,,,MG-SVC-CP-BMW-NBT,,,iDrive NBT,,,,,,,,350.00,,,TRUE,,,,,,,,CONTINUE,,,FALSE,manual,,,,,,,,,,,,,,,,,,,,,
